Underdog Co,Appearal,Clothing and Appearal,www.theunderdogco.com,,Address,Seattle,,lat,lon,,,,,,,,,,,,,,,,
A. O. Hammer,Art,Fine Art Store,www.aohamer.com,Aramis O. Hamer,"2125 2nd Ave., Seattle",Seattle,98121,47.612662,-122.343417,,,,,,,,,,,,,,,,
Gandy's Barbershop,Barbershop,,http://www.gandysbarbershop.com/,Sean Gandy,"10121 Evergreen Way, Suite 11",Everett,98033,47.906667,-122.242318,,,,,,,,,,,,,,,,
Golden Shears,Barbershop,,,,9099 Seward Park Avenue S,Seattle,98118,47.520599,-122.263102,,,,,,,,,,,,,,,,
Larry's Afro Barber & Style Shop,Barbershop,,,,3017 E. 5th Ave,Spokane,99202,47.613439,-122.338747,,,,,,,,,,,,,,,,
QC the Barber,Barbershop,,http://www.509barberqc.com/index.html,,Seattle,,,47.603229,-122.33028,,,,,,,,,,,,,,,,
VALENTINO'S HAIR & WIG BOUTIQUE,Beauty Supply,,http://valentinosboutique.blogspot.com/,,12201 Pacific Ave. S.,Tacoma,98444,47.145597,-122.434444,,,,,,,,,,,,,,,,
Diva's Beauty Supply,Beauty Supply & Hair Braiding,"hair braiding, weaving, wigs, and beauty supplies",http://www.divasbeautysupply-wigs-hairbraiding.com/,,16911 Highway 99 Suite102,Lynnwood,98037,47.548238,-122.334157,,,,,,,,,,,,,,,,
Brother's Books,Black Book Store,,,,11443 Rainier Ave,Seattle,98178,47.500135,-122.22109,,,,,,,,,,,,,,,,
Black Genealogy Research Group of Seattle,Black/African American Genealogy,conducting African-American Family History research,http://bgrgseattle.blogspot.com/,Edith Giles and Jacqueline E.A. Lawson,PO Box 22848,Seattle,98122,46.591989,-120.709305,,,,,,,,,,,,,,,,
Black Heritage Society of Washington State,Black/African American Genealogy,documenting the culture and heritage of Black people statewide,http://www.bhswa.org/,Carol Peoples-Procter,PO Box 22961,Seattle,98122,46.591989,-120.709305,,,,,,,,,,,,,,,,
100 Black Men of Greater Seattle,Community Service,Black Men as Role Models,http://www.100blackmen.org/hunchapters.aspx,Mr. Danny Pearson,1700 7th Avenue Suite 116 #334,Seattle,98101,47.613815,-122.335476,,,,,,,,,,,,,,,,
Communications Energy Technology Solutions Inc,Contractor,"Industrial, Commercial and Marine Electrical Installation",http://www.cetsinc.com/,Jaret Sutherland,1441 N Nothlake Way,Seattle,,47.646902,-122.338707,,,,,,,,,,,,,,,,
AllTreatment,Drug Rehab Center,,http://www.alltreatment.com/wa,,999 Third Ave,Seattle,,47.60525,-122.333737,,,,,,,,,,,,,,,,
Sistah Sinema,Film,"LGBT, movies, queer, women of color",www.sistahsinema.com,,Seattle,Seattle,,47.603229,-122.33028,,,,,,,,,,,,,,,,
Fish On Bait and Tackle Shop / Cafe,Fishing,,,Ron Kess,955 Alaskan Way W. Pier 86,Seattle,,47.60371,-122.33879,,,,,,,,,,,,,,,,
Eastside Golf Club,Golf Club,senior golfers from six different golf clubs on the eastside of Oregon,http://www.eastsidegolf.org/,Dale Counsell,Seattle,,,47.603229,-122.33028,,,,,,,,,,,,,,,,
Fir State Golf Club,Golf Club,,http://www.firstategolfclub.com/,Jim McKenzie:,3418 Martin Luther King Way S. P.O. Box 18615,Seattle,98178,47.486065,-122.25547,,,,,,,,,,,,,,,,
MV Transporation Inc.,Ground Transportation,,www.mvtransit.com,,Seattle,,,47.603229,-122.33028,,,,,,,,,,,,,,,,
Roses & Siga African Hair Braiding,Hair Braiding,,,,6301 Rainier Avenue S,Seattle,,47.545981,-122.275958,,,,,,,,,,,,,,,,
AmaniSalon,Hair Salon,Hair Extention Serivces,amanisalon.setmore.com,Amani Carithers,"16825 48th Ave W, Suite 333",Lynnwood,98204,47.845798,-122.298052,,,,,,,,,,,,,,,,
Gorgeous Braids and Weaves,Hair Salon,"Weaves, Braids, Crochet Braids, Fusions",https://www.styleseat.com/m/book/s/gorgeousbraidsweavesalonmobilesrvava-seattle-wa,Cindy House,"2301 South Jackson, Seattle",Seattle,,47.599275,-122.300973,,,,,,,,,,,,,,,,
I AM Natural Beauty Salon,Hair Salon,"dreadlocks, weaves, braids, and more protective styles",http://www.iamnaturalbeauty.com/,Iyana Woods,9462 Rainier Ave S,Seattle,,47.520169,-122.262274,,,,,,,,,,,,,,,,
Kinetic Kinks,Hair Salon,,,,6326 Rainier Avenue South -,Seattle,,47.54535,-122.275111,,,,,,,,,,,,,,,,
Living Color Beauty Salon -,Hair Salon,natural braiding and weaving salon,,Jamila H,9416 Rainier Ave S,Seattle,,47.519974,-122.263986,,,,,,,,,,,,,,,,
Mane Blow Dry Bar,Hair Salon,,,,"717 Pine St, Seattle",Seattle,98101,47.612665,-122.33419,,,,,,,,,,,,,,,,
Michaela's Salon and Spa,Hair Salon,,,,"822 12th Ave, Seattle",Seattle,,47.609637,-122.316797,,,,,,,,,,,,,,,,
Nai Millér Beauty Salon,Hair Salon,"Classic and modern hairstyling for men, women, and children",,,4270 South Mead Street,Seattle,,47.550419,-122.277602,,,,,,,,,,,,,,,,
Ola Salon,Hair Salon,,http://www.olasalon.com/,,2942 Avalon Way SW,Seattle,,47.56978,-122.370742,,,,,,,,,,,,,,,,
The Kolmara Studio,Hair Salon,,,,"2308 East Madison St, Seattle",Seattle,,47.619585,-122.301954,,,,,,,,,,,,,,,,
Graceful Healing,Health - nonprofit,health rights advocate/medical cost assistance ,http://gracefulhealingus.org/,Ernest Rogers ,19019 International Blvd #138 ,Seatac,98188,47.432285,-122.295445,,,,,,,,,,,,,,,,
Sacred Light Birth Services,Health & Wellness,,www.sacredlightbirthservices.com,,Seattle,Seattle,98118,47.603229,-122.33028,,,,,,,,,,,,,,,,
African American Business & Employment Journal,Newspaper,,,,PO Box 22258,Seattle,98122,46.591989,-120.709305,,,,,,,,,,,,,,,,
Seattle Medium,Newspaper,,http://seattlemedium.com/,,"2600 South Jackson, Post Office 22047, Seattle",Seattle,98122,47.59943,-122.29842,,,,,,,,,,,,,,,,
The Facts,Newspaper,,http://www.nwfacts.com/,,"Post Office Box 22015, Seattle",Seattle,98122,47.603229,-122.33028,,,,,,,,,,,,,,,,
"Dazjanae Johnson, Real Estate Agent",REALTOR®,Assists with homeownership goals/investments,HomesByDaz.com   (206)619-7029,Dazjanae Johnson,Western Washington,,,46.296908,-119.336969,,,,,,,,,,,,,,,,
Alexandria's,Resturant,Soul Food,,,"2020 2nd Ave., Seattle",Seattle,98121,47.612188,-122.342605,,,,,,,,,,,,,,,,
Dallas BBQ Soul Food And Catering,Resturant,Soul Food,,,2519 S Jackson St,Seattle,,47.599256,-122.299057,,,,,,,,,,,,,,,,
DeeZ DogZ,Resturant,Seattle Style Hot Dogz,,Nomoka Shabazz Trice,3020 Issaquah Pine Lake Rd #568,Sammamish,9075,47.603229,-122.33028,,,,,,,,,,,,,,,,
Ezels Famous Chicken,Resturant,Soul Food,https://www.ezellschicken.com/,,Seattle,,,47.603229,-122.33028,,,,,,,,,,,,,,,,
Island Soul Restaurant,Resturant,Island Soul Caribbean Cuisine,http://www.islandsoulrestaurant.com/home.html,,4869 Rainier Ave S.,South Seattle,98118,47.558224,-122.285253,,,,,,,,,,,,,,,,
Meskel Ethiopian Resturant,Resturant,,http://www.meskelrestaurant.com/,,2605 East Cherry Street,Seattle,98122,47.608004,-122.298648,,,,,,,,,,,,,,,,
Nate's Wings and Waffles,Resturant,,www.nateswingsandwaffles.com,Nate Robinson,9261 57th Ave S,Seattle,98118,47.51983,-122.261584,,,,,,,,,,,,,,,,
Rose Petals Restaurant,Resturant,Southern/Soul Food,places.singleplatform.com,,6901 Martin Luther King Jr Way S,Seattle,98118,47.540437,-122.28295,,,,,,,,,,,,,,,,
The Right Taste,Resturant,,,,6901Mlk Way S,Seattle,98118,47.603229,-122.33028,,,,,,,,,,,,,,,,
Willie's Taste of Soul BBQ,Resturant,Soul Food,http://www.williestasteofsoulseattle.com/,,3427 Rainier Ave S,Seattle,98144,47.57218,-122.293467,,,,,,,,,,,,,,,,
Lunaversoul Jewelry,Retail Jewlery,,www.lunaversoul.com,Camilia JAckson,401 Olympia Ave.NE Suite 311,Renton,98056,47.489133,-122.17196,,,,,,,,,,,,,,,,
Name,Type,Description,Website,Owner(s),Seattle,City,Zip Code,47.603229,-122.33028,,,,,,,,,,,,,,,,
Good Hair Salon,,,http://goodhairsalon.com/,,1918 Yesler Studio C,Seattle,,47.60193,-122.30674,,,,,,,,,,,,,,,,
Lika Love,,,,Malika Siddiq,Seattle,,,47.603229,-122.33028,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
